Column_Name,Description,Unit_of_measurement
Store,Identifikation Nummer der Filiale,ID
Date,Datum des Verkaufs,Woche
Date_Converted,Datum des Verkaufs,Woche
Weekly_Sales,Umsatzerlös,Dollar
Holiday_Flag,Lag in der Woche ein Feiertag vor,1 – Feiertag/ 0 – kein Feiertag
Temperature,Temperatur am Verkaufstag,Fahrenheit
Fuel_Price,Benzinpreise der Region,Dollar
CPI,Konsumenten Preis Index (Messung der Inflation),Durchschnittliche Veränderung
Unemployment,Arbeitslosenrate,Prozent
Region_Code,Regionsbezeichnung,
Area_Name,Ortsbezeichnung,
Latitude,Breitengrad,
Longitude,Längengrad,
Date_Holiday,Datum des Feiertags,Datum
Event_Name,Feiertagsbezeichnung,   